Area of park,Population year,Survey Year,Survey Month,Survey Day,Species name,Unknown age and sex count,Adult male count,Adult female count,Adult unknown count,Yearling count,Calf count,Survey total,Sightability correction factor,Additional captive count,Animals removed prior to survey,Fall population estimate,Survey comment,Estimate method
North,1905,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,Ground
North,1905,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,,Ground
North,1905,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,Ground
North,1906,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,,Ground
North,1906,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,,Ground
North,1906,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,,Ground
North,1906,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,Ground
North,1907,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411,,Ground
North,1907,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,,Ground
North,1907,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,,Ground
North,1907,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,Ground
North,1908,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426,,Ground
North,1908,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,,Ground
North,1908,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,,Ground
North,1908,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,,Ground
North,1909,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,,Ground
North,1909,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,,Ground
North,1909,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,,Ground
North,1909,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,,Ground
North,1910,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,,Ground
North,1910,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,,Ground
North,1910,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,,Ground
North,1910,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,,Ground
North,1911,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,,Ground
North,1911,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,,Ground
North,1911,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,,Ground
North,1911,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,,Ground
North,1912,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,,Ground
North,1912,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,,Ground
North,1912,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,,Ground
North,1912,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,Ground
